,Date
353,2021-01-09
354,2021-01-10
355,2021-01-11
356,2021-01-12
357,2021-01-13
358,2021-01-14
359,2021-01-15
360,2021-01-16
361,2021-01-17
362,2021-01-18
363,2021-01-19
364,2021-01-20
365,2021-01-21
366,2021-01-22
367,2021-01-23
368,2021-01-24
369,2021-01-25
370,2021-01-26
371,2021-01-27
372,2021-01-28
373,2021-01-29
374,2021-01-30
375,2021-01-31
376,2021-02-01
377,2021-02-02
378,2021-02-03
379,2021-02-04
380,2021-02-05
381,2021-02-06
382,2021-02-07
383,2021-02-08
384,2021-02-09
385,2021-02-10
386,2021-02-11
387,2021-02-12
388,2021-02-13
389,2021-02-14
390,2021-02-15
391,2021-02-16
392,2021-02-17
393,2021-02-18
394,2021-02-19
395,2021-02-20
396,2021-02-21
397,2021-02-22
398,2021-02-23
399,2021-02-24
400,2021-02-25
401,2021-02-26
402,2021-02-27
403,2021-02-28
404,2021-03-01
405,2021-03-02
406,2021-03-03
407,2021-03-04
408,2021-03-05
409,2021-03-06
410,2021-03-07
411,2021-03-08
412,2021-03-09
413,2021-03-10
414,2021-03-11
415,2021-03-12
416,2021-03-13
417,2021-03-14
418,2021-03-15
419,2021-03-16
420,2021-03-17
421,2021-03-18
422,2021-03-19
423,2021-03-20
424,2021-03-21
425,2021-03-22
426,2021-03-23
427,2021-03-24
428,2021-03-25
429,2021-03-26
430,2021-03-27
431,2021-03-28
432,2021-03-29
433,2021-03-30
434,2021-03-31
435,2021-04-01
436,2021-04-02
437,2021-04-03
438,2021-04-04
439,2021-04-05
440,2021-04-06
441,2021-04-07
442,2021-04-08
443,2021-04-09
444,2021-04-10
445,2021-04-11
446,2021-04-12
447,2021-04-13
448,2021-04-14
449,2021-04-15
450,2021-04-16
451,2021-04-17
452,2021-04-18
453,2021-04-19
454,2021-04-20
455,2021-04-21
456,2021-04-22
457,2021-04-23
458,2021-04-24
459,2021-04-25
460,2021-04-26
461,2021-04-27
462,2021-04-28
463,2021-04-29
464,2021-04-30
465,2021-05-01
466,2021-05-02
467,2021-05-03
468,2021-05-04
469,2021-05-05
470,2021-05-06
471,2021-05-07
472,2021-05-08
473,2021-05-09
474,2021-05-10
475,2021-05-11
476,2021-05-12
477,2021-05-13
478,2021-05-14
479,2021-05-15
480,2021-05-16
481,2021-05-17
482,2021-05-18
483,2021-05-19
484,2021-05-20
485,2021-05-21
486,2021-05-22
487,2021-05-23
488,2021-05-24
489,2021-05-25
490,2021-05-26
491,2021-05-27
492,2021-05-28
493,2021-05-29
494,2021-05-30
495,2021-05-31
496,2021-06-01
497,2021-06-02
498,2021-06-03
499,2021-06-04
500,2021-06-05
501,2021-06-06
502,2021-06-07
503,2021-06-08
504,2021-06-09
505,2021-06-10
506,2021-06-11
507,2021-06-12
508,2021-06-13
509,2021-06-14
510,2021-06-15
511,2021-06-16
512,2021-06-17
513,2021-06-18
514,2021-06-19
515,2021-06-20
516,2021-06-21
517,2021-06-22
518,2021-06-23
519,2021-06-24
520,2021-06-25
521,2021-06-26
522,2021-06-27
523,2021-06-28
524,2021-06-29
525,2021-06-30
526,2021-07-01
527,2021-07-02
528,2021-07-03
529,2021-07-04
530,2021-07-05
531,2021-07-06
532,2021-07-07
533,2021-07-08
534,2021-07-09
535,2021-07-10
536,2021-07-11
537,2021-07-12
538,2021-07-13
539,2021-07-14
540,2021-07-15
541,2021-07-16
542,2021-07-17
543,2021-07-18
544,2021-07-19
545,2021-07-20
546,2021-07-21
547,2021-07-22
548,2021-07-23
549,2021-07-24
550,2021-07-25
551,2021-07-26
552,2021-07-27
553,2021-07-28
554,2021-07-29
555,2021-07-30
556,2021-07-31
557,2021-08-01
558,2021-08-02
559,2021-08-03
560,2021-08-04
561,2021-08-05
562,2021-08-06
563,2021-08-07
564,2021-08-08
565,2021-08-09
566,2021-08-10
567,2021-08-11
568,2021-08-12
569,2021-08-13
570,2021-08-14
571,2021-08-15
572,2021-08-16
573,2021-08-17
574,2021-08-18
575,2021-08-19
576,2021-08-20
577,2021-08-21
578,2021-08-22
579,2021-08-23
580,2021-08-24
581,2021-08-25
582,2021-08-26
583,2021-08-27
584,2021-08-28
585,2021-08-29
586,2021-08-30
587,2021-08-31
588,2021-09-01
589,2021-09-02
590,2021-09-03
591,2021-09-04
592,2021-09-05
593,2021-09-06
594,2021-09-07
595,2021-09-08
596,2021-09-09
597,2021-09-10
598,2021-09-11
599,2021-09-12
600,2021-09-13
601,2021-09-14
602,2021-09-15
603,2021-09-16
604,2021-09-17
605,2021-09-18
606,2021-09-19
607,2021-09-20
608,2021-09-21
609,2021-09-22
610,2021-09-23
611,2021-09-24
612,2021-09-25
613,2021-09-26
614,2021-09-27
615,2021-09-28
616,2021-09-29
617,2021-09-30
618,2021-10-01
619,2021-10-02
620,2021-10-03
621,2021-10-04
622,2021-10-05
623,2021-10-06
624,2021-10-07
625,2021-10-08
626,2021-10-09
627,2021-10-10
628,2021-10-11
629,2021-10-12
630,2021-10-13
631,2021-10-14
632,2021-10-15
633,2021-10-16
634,2021-10-17
635,2021-10-18
636,2021-10-19
637,2021-10-20
638,2021-10-21
639,2021-10-22
640,2021-10-23
641,2021-10-24
642,2021-10-25
643,2021-10-26
644,2021-10-27
645,2021-10-28
646,2021-10-29
647,2021-10-30
648,2021-10-31
649,2021-11-01
650,2021-11-02
651,2021-11-03
652,2021-11-04
653,2021-11-05
654,2021-11-06
655,2021-11-07
656,2021-11-08
657,2021-11-09
658,2021-11-10
659,2021-11-11
660,2021-11-12
661,2021-11-13
662,2021-11-14
663,2021-11-15
664,2021-11-16
665,2021-11-17
666,2021-11-18
667,2021-11-19
668,2021-11-20
669,2021-11-21
670,2021-11-22
671,2021-11-23
672,2021-11-24
673,2021-11-25
674,2021-11-26
675,2021-11-27
676,2021-11-28
677,2021-11-29
678,2021-11-30
679,2021-12-01
680,2021-12-02
681,2021-12-03
682,2021-12-04
683,2021-12-05
684,2021-12-06
685,2021-12-07
686,2021-12-08
687,2021-12-09
688,2021-12-10
689,2021-12-11
690,2021-12-12
691,2021-12-13
692,2021-12-14
693,2021-12-15
694,2021-12-16
695,2021-12-17
696,2021-12-18
697,2021-12-19
698,2021-12-20
699,2021-12-21
700,2021-12-22
701,2021-12-23
702,2021-12-24
703,2021-12-25
704,2021-12-26
705,2021-12-27
706,2021-12-28
707,2021-12-29
708,2021-12-30
709,2021-12-31
710,2022-01-01
711,2022-01-02
712,2022-01-03
713,2022-01-04
714,2022-01-05
715,2022-01-06
716,2022-01-07
717,2022-01-08
718,2022-01-09
719,2022-01-10
720,2022-01-11
721,2022-01-12
722,2022-01-13
723,2022-01-14
724,2022-01-15
725,2022-01-16
726,2022-01-17
727,2022-01-18
728,2022-01-19
729,2022-01-20
730,2022-01-21
731,2022-01-22
732,2022-01-23
733,2022-01-24
734,2022-01-25
735,2022-01-26
736,2022-01-27
737,2022-01-28
738,2022-01-29
739,2022-01-30
740,2022-01-31
741,2022-02-01
742,2022-02-02
743,2022-02-03
744,2022-02-04
745,2022-02-05
746,2022-02-06
747,2022-02-07
748,2022-02-08
749,2022-02-09
750,2022-02-10
751,2022-02-11
752,2022-02-12
753,2022-02-13
754,2022-02-14
755,2022-02-15
756,2022-02-16
757,2022-02-17
758,2022-02-18
759,2022-02-19
760,2022-02-20
761,2022-02-21
762,2022-02-22
763,2022-02-23
764,2022-02-24
765,2022-02-25
766,2022-02-26
767,2022-02-27
768,2022-02-28
769,2022-03-01
770,2022-03-02
771,2022-03-03
772,2022-03-04
773,2022-03-05
774,2022-03-06
775,2022-03-07
776,2022-03-08
777,2022-03-09
778,2022-03-10
779,2022-03-11
780,2022-03-12
781,2022-03-13
782,2022-03-14
783,2022-03-15
784,2022-03-16
785,2022-03-17
786,2022-03-18
787,2022-03-19
788,2022-03-20
789,2022-03-21
790,2022-03-22
791,2022-03-23
792,2022-03-24
793,2022-03-25
794,2022-03-26
795,2022-03-27
796,2022-03-28
797,2022-03-29
798,2022-03-30
799,2022-03-31
